name,emoji,group,subgroup,keywords,aliases
grinning face,😀,Smileys & People,face-positive,"face, grin, grinning face, smile, happy","grinning, grinning face"
beaming face with smiling eyes,😁,Smileys & People,face-positive,"beaming face with smiling eyes, eye, face, grin, smile","grin, beaming face with smiling eyes"
face with tears of joy,😂,Smileys & People,face-positive,"face, face with tears of joy, joy, laugh, tear, tears","joy, face with tears of joy"
rolling on the floor laughing,🤣,Smileys & People,face-positive,"face, floor, laugh, rolling, rolling on the floor laughing, lol, laughing","rofl, rolling on the floor laughing"
grinning face with big eyes,😃,Smileys & People,face-positive,"face, grinning face with big eyes, mouth, open, smile, happy, joy, haha","smiley, grinning face with big eyes"
grinning face with smiling eyes,😄,Smileys & People,face-positive,"eye, face, grinning face with smiling eyes, mouth, open, smile, happy, joy, laugh, pleased","smile, grinning face with smiling eyes"
grinning face with sweat,😅,Smileys & People,face-positive,"cold, face, grinning face with sweat, open, smile, sweat, hot","sweat smile, grinning face with sweat"
grinning squinting face,😆,Smileys & People,face-positive,"face, grinning squinting face, laugh, mouth, open, satisfied, smile, happy, haha","laughing, satisfied, grinning squinting face"
winking face,😉,Smileys & People,face-positive,"face, wink, winking face, flirt","wink, winking face"
smiling face with smiling eyes,😊,Smileys & People,face-positive,"blush, eye, face, smile, smiling face with smiling eyes, proud","blush, smiling face with smiling eyes"
face savoring food,😋,Smileys & People,face-positive,"delicious, face, face savoring food, savouring, smile, um, yum, tongue, lick","yum, face savoring food"
smiling face with sunglasses,😎,Smileys & People,face-positive,"bright, cool, eye, eyewear, face, glasses, smile, smiling face with sunglasses, sun, sunglasses, cool","sunglasses, smiling face with sunglasses"
smiling face with heart-eyes,😍,Smileys & People,face-positive,"eye, face, love, smile, smiling face with heart-eyes, love, crush","heart eyes, smiling face with heart eyes"
face blowing a kiss,😘,Smileys & People,face-positive,"face, face blowing a kiss, kiss, flirt","kissing heart, face blowing a kiss"
smiling face with 3 hearts,🥰,Smileys & People,face-positive,"adore, crush, in love",smiling face with 3 hearts
kissing face,😗,Smileys & People,face-positive,"face, kiss, kissing face","kissing, kissing face"
kissing face with smiling eyes,😙,Smileys & People,face-positive,"eye, face, kiss, kissing face with smiling eyes, smile","kissing smiling eyes, kissing face with smiling eyes"
kissing face with closed eyes,😚,Smileys & People,face-positive,"closed, eye, face, kiss, kissing face with closed eyes","kissing closed eyes, kissing face with closed eyes"
smiling face,☺️,Smileys & People,face-positive,"blush, pleased","relaxed, smiling face"
smiling face,☺,Smileys & People,face-positive,"face, outlined, relaxed, smile, smiling face",smiling face
slightly smiling face,🙂,Smileys & People,face-positive,"face, slightly smiling face, smile",slightly smiling face
hugging face,🤗,Smileys & People,face-positive,"face, hug, hugging","hugs, hugging face"
star-struck,🤩,Smileys & People,face-positive,"eyes, face, grinning, star, star-struck, starry-eyed",star struck
thinking face,🤔,Smileys & People,face-neutral,"face, thinking","thinking, thinking face"
face with raised eyebrow,🤨,Smileys & People,face-neutral,"distrust, face with raised eyebrow, skeptic, disapproval, disbelief, mild surprise, scepticism","face with raised eyebrow, raised eyebrow"
neutral face,😐,Smileys & People,face-neutral,"deadpan, face, neutral, meh",neutral face
expressionless face,😑,Smileys & People,face-neutral,"expressionless, face, inexpressive, unexpressive","expressionless, expressionless face"
face without mouth,😶,Smileys & People,face-neutral,"face, face without mouth, mouth, quiet, silent, mute, silence","no mouth, face without mouth"
face with rolling eyes,🙄,Smileys & People,face-neutral,"eyes, face, face with rolling eyes, rolling","roll eyes, face with rolling eyes"
smirking face,😏,Smileys & People,face-neutral,"face, smirk, smirking face, smug","smirk, smirking face"
persevering face,😣,Smileys & People,face-neutral,"face, persevere, persevering face, struggling","persevere, persevering face"
sad but relieved face,😥,Smileys & People,face-neutral,"disappointed, face, relieved, sad but relieved face, whew, phew, sweat, nervous","disappointed relieved, sad but relieved face"
face with open mouth,😮,Smileys & People,face-neutral,"face, face with open mouth, mouth, open, sympathy, surprise, impressed, wow","open mouth, face with open mouth"
zipper-mouth face,🤐,Smileys & People,face-neutral,"face, mouth, zipper, zipper-mouth face, silence, hush",zipper mouth face
hushed face,😯,Smileys & People,face-neutral,"face, hushed, stunned, surprised, silence, speechless","hushed, hushed face"
sleepy face,😪,Smileys & People,face-neutral,"face, sleep, sleepy face, tired","sleepy, sleepy face"
tired face,😫,Smileys & People,face-neutral,"face, tired, upset, whine",tired face
sleeping face,😴,Smileys & People,face-neutral,"face, sleep, sleeping face, zzz, zzz","sleeping, sleeping face"
relieved face,😌,Smileys & People,face-neutral,"face, relieved, whew","relieved, relieved face"
face with tongue,😛,Smileys & People,face-neutral,"face, face with tongue, tongue","stuck out tongue, face with tongue"
winking face with tongue,😜,Smileys & People,face-neutral,"eye, face, joke, tongue, wink, winking face with tongue, prank, silly","stuck out tongue winking eye, winking face with tongue"
squinting face with tongue,😝,Smileys & People,face-neutral,"eye, face, horrible, squinting face with tongue, taste, tongue, prank","stuck out tongue closed eyes, squinting face with tongue"
drooling face,🤤,Smileys & People,face-neutral,"drooling, face",drooling face
unamused face,😒,Smileys & People,face-neutral,"face, unamused, unhappy, meh","unamused, unamused face"
downcast face with sweat,😓,Smileys & People,face-neutral,"cold, downcast face with sweat, face, sweat","sweat, downcast face with sweat"
pensive face,😔,Smileys & People,face-neutral,"dejected, face, pensive","pensive, pensive face"
confused face,😕,Smileys & People,face-neutral,"confused, face","confused, confused face"
upside-down face,🙃,Smileys & People,face-neutral,"face, upside-down",upside down face
money-mouth face,🤑,Smileys & People,face-neutral,"face, money, money-mouth face, mouth, rich",money mouth face
astonished face,😲,Smileys & People,face-neutral,"astonished, face, shocked, totally, amazed, gasp","astonished, astonished face"
frowning face,☹️,Smileys & People,face-negative,,frowning face
frowning face,☹,Smileys & People,face-negative,"face, frown, frowning face",
slightly frowning face,🙁,Smileys & People,face-negative,"face, frown, slightly frowning face",slightly frowning face
confounded face,😖,Smileys & People,face-negative,"confounded, face","confounded, confounded face"
disappointed face,😞,Smileys & People,face-negative,"disappointed, face, sad","disappointed, disappointed face"
worried face,😟,Smileys & People,face-negative,"face, worried, nervous","worried, worried face"
face with steam from nose,😤,Smileys & People,face-negative,"face, face with steam from nose, triumph, won, smug","triumph, face with steam from nose"
crying face,😢,Smileys & People,face-negative,"cry, crying face, face, sad, tear, sad","cry, crying face"
loudly crying face,😭,Smileys & People,face-negative,"cry, face, loudly crying face, sad, sob, tear, sad, cry, bawling","sob, loudly crying face"
frowning face with open mouth,😦,Smileys & People,face-negative,"face, frown, frowning face with open mouth, mouth, open","frowning, frowning face with open mouth"
anguished face,😧,Smileys & People,face-negative,"anguished, face, stunned","anguished, anguished face"
fearful face,😨,Smileys & People,face-negative,"face, fear, fearful, scared, scared, shocked, oops","fearful, fearful face"
weary face,😩,Smileys & People,face-negative,"face, tired, weary, tired","weary, weary face"
exploding head,🤯,Smileys & People,face-negative,"exploding head, shocked",exploding head
grimacing face,😬,Smileys & People,face-negative,"face, grimace, grimacing face","grimacing, grimacing face"
anxious face with sweat,😰,Smileys & People,face-negative,"anxious face with sweat, blue, cold, face, mouth, open, rushed, sweat, nervous","cold sweat, anxious face with sweat"
face screaming in fear,😱,Smileys & People,face-negative,"face, face screaming in fear, fear, fearful, munch, scared, scream, horror, shocked","scream, face screaming in fear"
hot face,🥵,Smileys & People,face-negative,"feverish, heat stroke, hot, red-faced, sweating",hot face
cold face,🥶,Smileys & People,face-negative,"blue-faced, cold, freezing, frostbite, icicles",cold face
flushed face,😳,Smileys & People,face-negative,"dazed, face, flushed","flushed, flushed face"
zany face,🤪,Smileys & People,face-negative,"eye, goofy, large, small, zany face","zany face, zany"
dizzy face,😵,Smileys & People,face-negative,"dizzy, face",dizzy face
pouting face,😡,Smileys & People,face-negative,"angry, face, mad, pouting, rage, red, angry","rage, pout, pouting face"
angry face,😠,Smileys & People,face-negative,"angry, face, mad, mad, annoyed","angry, angry face"
face with symbols on mouth,🤬,Smileys & People,face-negative,"face with symbols on mouth, swearing, cursing","face with symbols on mouth, symbols over mouth"
face with medical mask,😷,Smileys & People,face-sick,"cold, doctor, face, face with medical mask, mask, medicine, sick, sick, ill","mask, face with medical mask"
face with thermometer,🤒,Smileys & People,face-sick,"face, face with thermometer, ill, sick, thermometer, sick",face with thermometer
face with head-bandage,🤕,Smileys & People,face-sick,"bandage, face, face with head-bandage, hurt, injury, hurt",face with head bandage
nauseated face,🤢,Smileys & People,face-sick,"face, nauseated, vomit, sick, barf, disgusted",nauseated face
face vomiting,🤮,Smileys & People,face-sick,"face vomiting, sick, vomit","face vomiting, vomiting"
sneezing face,🤧,Smileys & People,face-sick,"face, gesundheit, sneeze, sneezing face, achoo, sick",sneezing face
smiling face with halo,😇,Smileys & People,face-role,"angel, face, fairy tale, fantasy, halo, innocent, smile, smiling face with halo, angel","innocent, smiling face with halo"
cowboy hat face,🤠,Smileys & People,face-role,"cowboy, cowgirl, face, hat",cowboy hat face
partying face,🥳,Smileys & People,face-role,"celebration, hat, horn, party",partying face
woozy face,🥴,Smileys & People,face-role,"dizzy, intoxicated, tipsy, uneven eyes, wavy mouth",woozy face
pleading face,🥺,Smileys & People,face-role,"begging, mercy, puppy eyes",pleading face
lying face,🤥,Smileys & People,face-role,"face, lie, lying face, pinocchio, liar",lying face
shushing face,🤫,Smileys & People,face-role,"quiet, shush, shushing face","shushing face, shushing"
face with hand over mouth,🤭,Smileys & People,face-role,"face with hand over mouth, whoops, shock, sudden realization, surprise","face with hand over mouth, hand over mouth"
face with monocle,🧐,Smileys & People,face-role,"face with monocle, stuffy, wealthy","face with monocle, monocle"
nerd face,🤓,Smileys & People,face-role,"face, geek, nerd, geek, glasses",nerd face
smiling face with horns,😈,Smileys & People,face-fantasy,"face, fairy tale, fantasy, horns, smile, smiling face with horns, devil, evil, horns","smiling imp, smiling face with horns"
angry face with horns,👿,Smileys & People,face-fantasy,"angry face with horns, demon, devil, face, fairy tale, fantasy, imp, angry, devil, evil, horns","imp, angry face with horns"
clown face,🤡,Smileys & People,face-fantasy,"clown, face",clown face
ogre,👹,Smileys & People,face-fantasy,"creature, face, fairy tale, fantasy, monster, ogre, troll, monster","japanese ogre, ogre"
goblin,👺,Smileys & People,face-fantasy,"creature, face, fairy tale, fantasy, goblin, monster","japanese goblin, goblin"
skull,💀,Smileys & People,face-fantasy,"death, face, fairy tale, monster, skull, dead, danger, poison",skull
skull and crossbones,☠️,Smileys & People,face-fantasy,"danger, pirate",skull and crossbones
skull and crossbones,☠,Smileys & People,face-fantasy,"crossbones, death, face, monster, skull, skull and crossbones",
ghost,👻,Smileys & People,face-fantasy,"creature, face, fairy tale, fantasy, ghost, monster, halloween",ghost
alien,👽,Smileys & People,face-fantasy,"alien, creature, extraterrestrial, face, fairy tale, fantasy, monster, ufo",alien
alien monster,👾,Smileys & People,face-fantasy,"alien, creature, extraterrestrial, face, fairy tale, fantasy, monster, ufo, game, retro","space invader, alien monster"
robot face,🤖,Smileys & People,face-fantasy,"face, monster, robot","robot, robot face"
pile of poo,💩,Smileys & People,face-fantasy,"comic, dung, face, monster, pile of poo, poo, poop, crap","hankey, poop, shit, pile of poo"
grinning cat face,😺,Smileys & People,cat-face,"cat, face, grinning cat face, mouth, open, smile","smiley cat, grinning cat face"
grinning cat face with smiling eyes,😸,Smileys & People,cat-face,"cat, eye, face, grin, grinning cat face with smiling eyes, smile","smile cat, grinning cat face with smiling eyes"
cat face with tears of joy,😹,Smileys & People,cat-face,"cat, cat face with tears of joy, face, joy, tear","joy cat, cat face with tears of joy"
smiling cat face with heart-eyes,😻,Smileys & People,cat-face,"cat, eye, face, love, smile, smiling cat face with heart-eyes","heart eyes cat, smiling cat face with heart eyes"
cat face with wry smile,😼,Smileys & People,cat-face,"cat, cat face with wry smile, face, ironic, smile, wry","smirk cat, cat face with wry smile"
kissing cat face,😽,Smileys & People,cat-face,"cat, eye, face, kiss, kissing cat face","kissing cat, kissing cat face"
weary cat face,🙀,Smileys & People,cat-face,"cat, face, oh, surprised, weary, horror","scream cat, weary cat face"
crying cat face,😿,Smileys & People,cat-face,"cat, cry, crying cat face, face, sad, tear, sad",crying cat face
pouting cat face,😾,Smileys & People,cat-face,"cat, face, pouting","pouting cat, pouting cat face"
see-no-evil monkey,🙈,Smileys & People,monkey-face,"evil, face, forbidden, gesture, monkey, no, not, prohibited, see, see-no-evil monkey, monkey, blind, ignore","see no evil, see no evil monkey"
hear-no-evil monkey,🙉,Smileys & People,monkey-face,"evil, face, forbidden, gesture, hear, hear-no-evil monkey, monkey, no, not, prohibited, monkey, deaf","hear no evil, hear no evil monkey"
speak-no-evil monkey,🙊,Smileys & People,monkey-face,"evil, face, forbidden, gesture, monkey, no, not, prohibited, speak, speak-no-evil monkey, monkey, mute, hush","speak no evil, speak no evil monkey"
light skin tone,🏻,Smileys & People,skin-tone,,light skin tone
medium-light skin tone,🏼,Smileys & People,skin-tone,,medium light skin tone
medium skin tone,🏽,Smileys & People,skin-tone,,medium skin tone
medium-dark skin tone,🏾,Smileys & People,skin-tone,,medium dark skin tone
dark skin tone,🏿,Smileys & People,skin-tone,,dark skin tone
baby,👶,Smileys & People,person,"baby, young, child, newborn",baby
baby: light skin tone,👶🏻,Smileys & People,person,,baby light skin tone
baby: medium-light skin tone,👶🏼,Smileys & People,person,,baby medium light skin tone
baby: medium skin tone,👶🏽,Smileys & People,person,,baby medium skin tone
baby: medium-dark skin tone,👶🏾,Smileys & People,person,,baby medium dark skin tone
baby: dark skin tone,👶🏿,Smileys & People,person,,baby dark skin tone
child,🧒,Smileys & People,person,"child, gender-neutral, young, (no specific gender)",child
child: light skin tone,🧒🏻,Smileys & People,person,,child light skin tone
child: medium-light skin tone,🧒🏼,Smileys & People,person,,child medium light skin tone
child: medium skin tone,🧒🏽,Smileys & People,person,,child medium skin tone
child: medium-dark skin tone,🧒🏾,Smileys & People,person,,child medium dark skin tone
child: dark skin tone,🧒🏿,Smileys & People,person,,child dark skin tone
boy,👦,Smileys & People,person,"boy, young, child",boy
boy: light skin tone,👦🏻,Smileys & People,person,,boy light skin tone
boy: medium-light skin tone,👦🏼,Smileys & People,person,,boy medium light skin tone
boy: medium skin tone,👦🏽,Smileys & People,person,,boy medium skin tone
boy: medium-dark skin tone,👦🏾,Smileys & People,person,,boy medium dark skin tone
boy: dark skin tone,👦🏿,Smileys & People,person,,boy dark skin tone
girl,👧,Smileys & People,person,"girl, Virgo, young, zodiac, child",girl
girl: light skin tone,👧🏻,Smileys & People,person,,girl light skin tone
girl: medium-light skin tone,👧🏼,Smileys & People,person,,girl medium light skin tone
girl: medium skin tone,👧🏽,Smileys & People,person,,girl medium skin tone
girl: medium-dark skin tone,👧🏾,Smileys & People,person,,girl medium dark skin tone
girl: dark skin tone,👧🏿,Smileys & People,person,,girl dark skin tone
adult,🧑,Smileys & People,person,"adult, gender-neutral, (no specific gender)",adult
adult: light skin tone,🧑🏻,Smileys & People,person,,adult light skin tone
adult: medium-light skin tone,🧑🏼,Smileys & People,person,,adult medium light skin tone
adult: medium skin tone,🧑🏽,Smileys & People,person,,adult medium skin tone
adult: medium-dark skin tone,🧑🏾,Smileys & People,person,,adult medium dark skin tone
adult: dark skin tone,🧑🏿,Smileys & People,person,,adult dark skin tone
man,👨,Smileys & People,person,"man, mustache, father, dad",man
man: light skin tone,👨🏻,Smileys & People,person,,man light skin tone
man: medium-light skin tone,👨🏼,Smileys & People,person,,man medium light skin tone
man: medium skin tone,👨🏽,Smileys & People,person,,man medium skin tone
man: medium-dark skin tone,👨🏾,Smileys & People,person,,man medium dark skin tone
man: dark skin tone,👨🏿,Smileys & People,person,,man dark skin tone
woman,👩,Smileys & People,person,"woman, girls",woman
woman: light skin tone,👩🏻,Smileys & People,person,,woman light skin tone
woman: medium-light skin tone,👩🏼,Smileys & People,person,,woman medium light skin tone
woman: medium skin tone,👩🏽,Smileys & People,person,,woman medium skin tone
woman: medium-dark skin tone,👩🏾,Smileys & People,person,,woman medium dark skin tone
woman: dark skin tone,👩🏿,Smileys & People,person,,woman dark skin tone
older adult,🧓,Smileys & People,person,"gender-neutral, old, older adult, (no specific gender)",older adult
older adult: light skin tone,🧓🏻,Smileys & People,person,,older adult light skin tone
older adult: medium-light skin tone,🧓🏼,Smileys & People,person,,older adult medium light skin tone
older adult: medium skin tone,🧓🏽,Smileys & People,person,,older adult medium skin tone
older adult: medium-dark skin tone,🧓🏾,Smileys & People,person,,older adult medium dark skin tone
older adult: dark skin tone,🧓🏿,Smileys & People,person,,older adult dark skin tone
old man,👴,Smileys & People,person,"man, old","older man, old man"
old man: light skin tone,👴🏻,Smileys & People,person,,old man light skin tone
old man: medium-light skin tone,👴🏼,Smileys & People,person,,old man medium light skin tone
old man: medium skin tone,👴🏽,Smileys & People,person,,old man medium skin tone
old man: medium-dark skin tone,👴🏾,Smileys & People,person,,old man medium dark skin tone
old man: dark skin tone,👴🏿,Smileys & People,person,,old man dark skin tone
old woman,👵,Smileys & People,person,"old, woman","older woman, old woman"
old woman: light skin tone,👵🏻,Smileys & People,person,,old woman light skin tone
old woman: medium-light skin tone,👵🏼,Smileys & People,person,,old woman medium light skin tone
old woman: medium skin tone,👵🏽,Smileys & People,person,,old woman medium skin tone
old woman: medium-dark skin tone,👵🏾,Smileys & People,person,,old woman medium dark skin tone
old woman: dark skin tone,👵🏿,Smileys & People,person,,old woman dark skin tone
man health worker,👨‍⚕️,Smileys & People,person-role,"doctor, healthcare, man, man health worker, nurse, therapist",
man health worker,👨‍⚕,Smileys & People,person-role,"doctor, nurse",man health worker
man health worker: light skin tone,👨🏻‍⚕️,Smileys & People,person-role,,man health worker light skin tone
man health worker: light skin tone,👨🏻‍⚕,Smileys & People,person-role,,man health worker light skin tone
man health worker: medium-light skin tone,👨🏼‍⚕️,Smileys & People,person-role,,man health worker medium light skin tone
man health worker: medium-light skin tone,👨🏼‍⚕,Smileys & People,person-role,,man health worker medium light skin tone
man health worker: medium skin tone,👨🏽‍⚕️,Smileys & People,person-role,,man health worker medium skin tone
man health worker: medium skin tone,👨🏽‍⚕,Smileys & People,person-role,,man health worker medium skin tone
man health worker: medium-dark skin tone,👨🏾‍⚕️,Smileys & People,person-role,,man health worker medium dark skin tone
man health worker: medium-dark skin tone,👨🏾‍⚕,Smileys & People,person-role,,man health worker medium dark skin tone
man health worker: dark skin tone,👨🏿‍⚕️,Smileys & People,person-role,,man health worker dark skin tone
man health worker: dark skin tone,👨🏿‍⚕,Smileys & People,person-role,,man health worker dark skin tone
woman health worker,👩‍⚕️,Smileys & People,person-role,"doctor, healthcare, nurse, therapist, woman, woman health worker",
woman health worker,👩‍⚕,Smileys & People,person-role,"doctor, nurse",woman health worker
woman health worker: light skin tone,👩🏻‍⚕️,Smileys & People,person-role,,woman health worker light skin tone
woman health worker: light skin tone,👩🏻‍⚕,Smileys & People,person-role,,woman health worker light skin tone
woman health worker: medium-light skin tone,👩🏼‍⚕️,Smileys & People,person-role,,woman health worker medium light skin tone
woman health worker: medium-light skin tone,👩🏼‍⚕,Smileys & People,person-role,,woman health worker medium light skin tone
woman health worker: medium skin tone,👩🏽‍⚕️,Smileys & People,person-role,,woman health worker medium skin tone
woman health worker: medium skin tone,👩🏽‍⚕,Smileys & People,person-role,,woman health worker medium skin tone
woman health worker: medium-dark skin tone,👩🏾‍⚕️,Smileys & People,person-role,,woman health worker medium dark skin tone
woman health worker: medium-dark skin tone,👩🏾‍⚕,Smileys & People,person-role,,woman health worker medium dark skin tone
woman health worker: dark skin tone,👩🏿‍⚕️,Smileys & People,person-role,,woman health worker dark skin tone
woman health worker: dark skin tone,👩🏿‍⚕,Smileys & People,person-role,,woman health worker dark skin tone
man student,👨‍🎓,Smileys & People,person-role,"graduate, man, student, graduation",man student
man student: light skin tone,👨🏻‍🎓,Smileys & People,person-role,,man student light skin tone
man student: medium-light skin tone,👨🏼‍🎓,Smileys & People,person-role,,man student medium light skin tone
man student: medium skin tone,👨🏽‍🎓,Smileys & People,person-role,,man student medium skin tone
man student: medium-dark skin tone,👨🏾‍🎓,Smileys & People,person-role,,man student medium dark skin tone
man student: dark skin tone,👨🏿‍🎓,Smileys & People,person-role,,man student dark skin tone
woman student,👩‍🎓,Smileys & People,person-role,"graduate, student, woman, graduation",woman student
woman student: light skin tone,👩🏻‍🎓,Smileys & People,person-role,,woman student light skin tone
woman student: medium-light skin tone,👩🏼‍🎓,Smileys & People,person-role,,woman student medium light skin tone
woman student: medium skin tone,👩🏽‍🎓,Smileys & People,person-role,,woman student medium skin tone
woman student: medium-dark skin tone,👩🏾‍🎓,Smileys & People,person-role,,woman student medium dark skin tone
woman student: dark skin tone,👩🏿‍🎓,Smileys & People,person-role,,woman student dark skin tone
man teacher,👨‍🏫,Smileys & People,person-role,"instructor, man, professor, teacher, school, professor",man teacher
man teacher: light skin tone,👨🏻‍🏫,Smileys & People,person-role,,man teacher light skin tone
man teacher: medium-light skin tone,👨🏼‍🏫,Smileys & People,person-role,,man teacher medium light skin tone
man teacher: medium skin tone,👨🏽‍🏫,Smileys & People,person-role,,man teacher medium skin tone
man teacher: medium-dark skin tone,👨🏾‍🏫,Smileys & People,person-role,,man teacher medium dark skin tone
man teacher: dark skin tone,👨🏿‍🏫,Smileys & People,person-role,,man teacher dark skin tone
woman teacher,👩‍🏫,Smileys & People,person-role,"instructor, professor, teacher, woman, school, professor",woman teacher
woman teacher: light skin tone,👩🏻‍🏫,Smileys & People,person-role,,woman teacher light skin tone
woman teacher: medium-light skin tone,👩🏼‍🏫,Smileys & People,person-role,,woman teacher medium light skin tone
woman teacher: medium skin tone,👩🏽‍🏫,Smileys & People,person-role,,woman teacher medium skin tone
woman teacher: medium-dark skin tone,👩🏾‍🏫,Smileys & People,person-role,,woman teacher medium dark skin tone
woman teacher: dark skin tone,👩🏿‍🏫,Smileys & People,person-role,,woman teacher dark skin tone
man judge,👨‍⚖️,Smileys & People,person-role,"justice, man, man judge, scales",
man judge,👨‍⚖,Smileys & People,person-role,justice,man judge
man judge: light skin tone,👨🏻‍⚖️,Smileys & People,person-role,,man judge light skin tone
man judge: light skin tone,👨🏻‍⚖,Smileys & People,person-role,,man judge light skin tone
man judge: medium-light skin tone,👨🏼‍⚖️,Smileys & People,person-role,,man judge medium light skin tone
man judge: medium-light skin tone,👨🏼‍⚖,Smileys & People,person-role,,man judge medium light skin tone
man judge: medium skin tone,👨🏽‍⚖️,Smileys & People,person-role,,man judge medium skin tone
man judge: medium skin tone,👨🏽‍⚖,Smileys & People,person-role,,man judge medium skin tone
man judge: medium-dark skin tone,👨🏾‍⚖️,Smileys & People,person-role,,man judge medium dark skin tone
man judge: medium-dark skin tone,👨🏾‍⚖,Smileys & People,person-role,,man judge medium dark skin tone
man judge: dark skin tone,👨🏿‍⚖️,Smileys & People,person-role,,man judge dark skin tone
man judge: dark skin tone,👨🏿‍⚖,Smileys & People,person-role,,man judge dark skin tone
woman judge,👩‍⚖️,Smileys & People,person-role,"judge, scales, woman",
woman judge,👩‍⚖,Smileys & People,person-role,justice,woman judge
woman judge: light skin tone,👩🏻‍⚖️,Smileys & People,person-role,,woman judge light skin tone
woman judge: light skin tone,👩🏻‍⚖,Smileys & People,person-role,,woman judge light skin tone
woman judge: medium-light skin tone,👩🏼‍⚖️,Smileys & People,person-role,,woman judge medium light skin tone
woman judge: medium-light skin tone,👩🏼‍⚖,Smileys & People,person-role,,woman judge medium light skin tone
woman judge: medium skin tone,👩🏽‍⚖️,Smileys & People,person-role,,woman judge medium skin tone
woman judge: medium skin tone,👩🏽‍⚖,Smileys & People,person-role,,woman judge medium skin tone
woman judge: medium-dark skin tone,👩🏾‍⚖️,Smileys & People,person-role,,woman judge medium dark skin tone
woman judge: medium-dark skin tone,👩🏾‍⚖,Smileys & People,person-role,,woman judge medium dark skin tone
woman judge: dark skin tone,👩🏿‍⚖️,Smileys & People,person-role,,woman judge dark skin tone
woman judge: dark skin tone,👩🏿‍⚖,Smileys & People,person-role,,woman judge dark skin tone
man farmer,👨‍🌾,Smileys & People,person-role,"farmer, gardener, man, rancher",man farmer
man farmer: light skin tone,👨🏻‍🌾,Smileys & People,person-role,,man farmer light skin tone
man farmer: medium-light skin tone,👨🏼‍🌾,Smileys & People,person-role,,man farmer medium light skin tone
man farmer: medium skin tone,👨🏽‍🌾,Smileys & People,person-role,,man farmer medium skin tone
man farmer: medium-dark skin tone,👨🏾‍🌾,Smileys & People,person-role,,man farmer medium dark skin tone
man farmer: dark skin tone,👨🏿‍🌾,Smileys & People,person-role,,man farmer dark skin tone
woman farmer,👩‍🌾,Smileys & People,person-role,"farmer, gardener, rancher, woman",woman farmer
woman farmer: light skin tone,👩🏻‍🌾,Smileys & People,person-role,,woman farmer light skin tone
woman farmer: medium-light skin tone,👩🏼‍🌾,Smileys & People,person-role,,woman farmer medium light skin tone
woman farmer: medium skin tone,👩🏽‍🌾,Smileys & People,person-role,,woman farmer medium skin tone
woman farmer: medium-dark skin tone,👩🏾‍🌾,Smileys & People,person-role,,woman farmer medium dark skin tone
woman farmer: dark skin tone,👩🏿‍🌾,Smileys & People,person-role,,woman farmer dark skin tone
man cook,👨‍🍳,Smileys & People,person-role,"chef, cook, man, chef",man cook
man cook: light skin tone,👨🏻‍🍳,Smileys & People,person-role,,man cook light skin tone
man cook: medium-light skin tone,👨🏼‍🍳,Smileys & People,person-role,,man cook medium light skin tone
man cook: medium skin tone,👨🏽‍🍳,Smileys & People,person-role,,man cook medium skin tone
man cook: medium-dark skin tone,👨🏾‍🍳,Smileys & People,person-role,,man cook medium dark skin tone
man cook: dark skin tone,👨🏿‍🍳,Smileys & People,person-role,,man cook dark skin tone
woman cook,👩‍🍳,Smileys & People,person-role,"chef, cook, woman, chef",woman cook
woman cook: light skin tone,👩🏻‍🍳,Smileys & People,person-role,,woman cook light skin tone
woman cook: medium-light skin tone,👩🏼‍🍳,Smileys & People,person-role,,woman cook medium light skin tone
woman cook: medium skin tone,👩🏽‍🍳,Smileys & People,person-role,,woman cook medium skin tone
woman cook: medium-dark skin tone,👩🏾‍🍳,Smileys & People,person-role,,woman cook medium dark skin tone
woman cook: dark skin tone,👩🏿‍🍳,Smileys & People,person-role,,woman cook dark skin tone
man mechanic,👨‍🔧,Smileys & People,person-role,"electrician, man, mechanic, plumber, tradesperson",man mechanic
man mechanic: light skin tone,👨🏻‍🔧,Smileys & People,person-role,,man mechanic light skin tone
man mechanic: medium-light skin tone,👨🏼‍🔧,Smileys & People,person-role,,man mechanic medium light skin tone
man mechanic: medium skin tone,👨🏽‍🔧,Smileys & People,person-role,,man mechanic medium skin tone
man mechanic: medium-dark skin tone,👨🏾‍🔧,Smileys & People,person-role,,man mechanic medium dark skin tone
man mechanic: dark skin tone,👨🏿‍🔧,Smileys & People,person-role,,man mechanic dark skin tone
woman mechanic,👩‍🔧,Smileys & People,person-role,"electrician, mechanic, plumber, tradesperson, woman",woman mechanic
woman mechanic: light skin tone,👩🏻‍🔧,Smileys & People,person-role,,woman mechanic light skin tone
woman mechanic: medium-light skin tone,👩🏼‍🔧,Smileys & People,person-role,,woman mechanic medium light skin tone
woman mechanic: medium skin tone,👩🏽‍🔧,Smileys & People,person-role,,woman mechanic medium skin tone
woman mechanic: medium-dark skin tone,👩🏾‍🔧,Smileys & People,person-role,,woman mechanic medium dark skin tone
woman mechanic: dark skin tone,👩🏿‍🔧,Smileys & People,person-role,,woman mechanic dark skin tone
man factory worker,👨‍🏭,Smileys & People,person-role,"assembly, factory, industrial, man, worker",man factory worker
man factory worker: light skin tone,👨🏻‍🏭,Smileys & People,person-role,,man factory worker light skin tone
man factory worker: medium-light skin tone,👨🏼‍🏭,Smileys & People,person-role,,man factory worker medium light skin tone
man factory worker: medium skin tone,👨🏽‍🏭,Smileys & People,person-role,,man factory worker medium skin tone
